YEAR,MONTH,BENE_GEO_LVL,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_COUNTY_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,AGED_TOT_BENES,AGED_ESRD_BENES,AGED_NO_ESRD_BENES,DSBLD_TOT_BENES,DSBLD_ESRD_AND_ESRD_ONLY_BENES,DSBLD_NO_ESRD_BENES,MALE_TOT_BENES,FEMALE_TOT_BENES,WHITE_TOT_BENES,BLACK_TOT_BENES,API_TOT_BENES,HSPNC_TOT_BENES,NATIND_TOT_BENES,OTHR_TOT_BENES,AGE_LT_25_BENES,AGE_25_TO_44_BENES,AGE_45_TO_64_BENES,AGE_65_TO_69_BENES,AGE_70_TO_74_BENES,AGE_75_TO_79_BENES,AGE_80_TO_84_BENES,AGE_85_TO_89_BENES,AGE_90_TO_94_BENES,AGE_GT_94_BENES,DUAL_TOT_BENES,FULL_DUAL_TOT_BENES,PART_DUAL_TOT_BENES,NODUAL_TOT_BENES,A_B_TOT_BENES,A_B_ORGNL_MDCR_BENES,A_B_MA_AND_OTH_BENES,A_TOT_BENES,A_ORGNL_MDCR_BENES,A_MA_AND_OTH_BENES,B_TOT_BENES,B_ORGNL_MDCR_BENES,B_MA_AND_OTH_BENES,PRSCRPTN_DRUG_TOT_BENES,PRSCRPTN_DRUG_PDP_BENES,PRSCRPTN_DRUG_MAPD_BENES,PRSCRPTN_DRUG_DEEMED_ELIGIBLE_FULL_LIS_BENES,PRSCRPTN_DRUG_FULL_LIS_BENES,PRSCRPTN_DRUG_PARTIAL_LIS_BENES,PRSCRPTN_DRUG_NO_LIS_BENES
2013,Year,County,AL,Alabama,Etowah County,01055,23789.0,19430.0,4359.0,17110.0,119.0,16991.0,6679.0,106.0,6573.0,10697.0,13092.0,20494.0,2991.0,48.0,111.0,14.0,131.0,73.0,1456.0,5149.0,5370.0,4321.0,3123.0,2196.0,1425.0,537.0,137.0,5635.0,2431.0,3204.0,18153.0,22372.0,18018.0,4354.0,23665.0,19311.0,4354.0,22495.0,18136.0,4359.0,16963.0,12800.0,4163.0,5770.0,821.0,334.0,10038.0
2013,Year,County,AL,Alabama,Fayette County,01057,4547.0,3996.0,551.0,3275.0,15.0,3260.0,1273.0,21.0,1251.0,2094.0,2454.0,4012.0,482.0,*,19.0,*,29.0,14.0,252.0,1007.0,972.0,885.0,649.0,411.0,221.0,100.0,36.0,1153.0,581.0,571.0,3395.0,4306.0,3755.0,551.0,4523.0,3971.0,551.0,4331.0,3780.0,551.0,3214.0,2713.0,501.0,1168.0,235.0,77.0,1734.0
2013,Year,County,AL,Alabama,Franklin County,01059,6501.0,6013.0,488.0,4903.0,21.0,4882.0,1598.0,15.0,1583.0,2952.0,3549.0,6147.0,251.0,*,61.0,*,38.0,22.0,314.0,1262.0,1455.0,1289.0,979.0,632.0,378.0,116.0,53.0,1685.0,669.0,1016.0,4816.0,6158.0,5671.0,487.0,6470.0,5983.0,487.0,6189.0,5701.0,488.0,4673.0,4239.0,435.0,1722.0,260.0,96.0,2596.0
2013,Year,County,AL,Alabama,Geneva County,01061,6338.0,5717.0,621.0,4813.0,17.0,4797.0,1525.0,19.0,1505.0,2950.0,3387.0,5654.0,594.0,*,56.0,*,22.0,22.0,297.0,1206.0,1516.0,1218.0,893.0,644.0,354.0,138.0,51.0,1661.0,676.0,985.0,4677.0,6025.0,5404.0,621.0,6313.0,5692.0,621.0,6050.0,5429.0,621.0,4085.0,3508.0,577.0,1693.0,240.0,78.0,2074.0
2013,Year,County,AL,Alabama,Greene County,01063,2059.0,1920.0,139.0,1330.0,17.0,1313.0,729.0,22.0,707.0,928.0,1130.0,466.0,1580.0,0.0,0.0,0.0,12.0,*,*,569.0,376.0,336.0,229.0,174.0,134.0,51.0,30.0,750.0,425.0,325.0,1309.0,1927.0,1791.0,137.0,2030.0,1893.0,137.0,1957.0,1818.0,139.0,1549.0,1430.0,119.0,770.0,165.0,23.0,592.0
2013,Year,County,AL,Alabama,Hale County,01065,3744.0,3523.0,221.0,2371.0,24.0,2347.0,1373.0,30.0,1343.0,1685.0,2059.0,1588.0,2128.0,*,*,*,18.0,22.0,303.0,1049.0,767.0,563.0,432.0,307.0,198.0,64.0,40.0,1308.0,628.0,679.0,2436.0,3504.0,3284.0,220.0,3706.0,3486.0,220.0,3542.0,3321.0,221.0,2692.0,2495.0,197.0,1330.0,252.0,60.0,1050.0
2013,Year,County,AL,Alabama,Henry County,01067,4249.0,3444.0,805.0,3209.0,26.0,3183.0,1040.0,18.0,1022.0,1917.0,2331.0,2916.0,1284.0,*,20.0,*,27.0,16.0,198.0,825.0,1093.0,790.0,573.0,343.0,254.0,109.0,48.0,1022.0,431.0,591.0,3226.0,3987.0,3183.0,805.0,4230.0,3425.0,805.0,4006.0,3202.0,805.0,2929.0,2148.0,781.0,1034.0,169.0,75.0,1650.0
2013,Year,County,AL,Alabama,Houston County,01069,20791.0,18131.0,2660.0,16009.0,79.0,15931.0,4781.0,95.0,4687.0,9092.0,11699.0,15823.0,4594.0,86.0,163.0,12.0,114.0,67.0,1047.0,3667.0,4950.0,3898.0,3036.0,2146.0,1304.0,499.0,178.0,4872.0,2093.0,2779.0,15919.0,19540.0,16881.0,2659.0,20697.0,18039.0,2659.0,19633.0,16974.0,2660.0,13727.0,11240.0,2488.0,4978.0,594.0,281.0,7874.0
2013,Year,County,AL,Alabama,Jackson County,01071,12036.0,10644.0,1392.0,9237.0,43.0,9194.0,2798.0,43.0,2756.0,5511.0,6524.0,11548.0,371.0,22.0,38.0,*,*,20.0,508.0,2271.0,2964.0,2519.0,1810.0,1064.0,578.0,230.0,74.0,2658.0,1014.0,1645.0,9377.0,11355.0,9963.0,1392.0,11976.0,10585.0,1392.0,11414.0,10023.0,1392.0,8739.0,7447.0,1293.0,2735.0,566.0,194.0,5244.0
2013,Year,County,AL,Alabama,Jefferson County,01073,119361.0,70936.0,48425.0,90458.0,699.0,89759.0,28903.0,985.0,27918.0,51253.0,68108.0,72307.0,45188.0,562.0,502.0,30.0,773.0,344.0,5890.0,22669.0,27140.0,21286.0,15912.0,12255.0,8654.0,3886.0,1325.0,25318.0,10643.0,14674.0,94043.0,109322.0,60903.0,48419.0,118423.0,70004.0,48419.0,110260.0,61835.0,48425.0,88697.0,43214.0,45483.0,26022.0,3982.0,1448.0,57245.0
2013,Year,County,AL,Alabama,Lamar County,01075,3752.0,3456.0,296.0,2742.0,13.0,2729.0,1010.0,13.0,997.0,1723.0,2030.0,3302.0,418.0,*,13.0,*,13.0,*,*,800.0,815.0,671.0,573.0,361.0,224.0,70.0,29.0,980.0,410.0,571.0,2772.0,3583.0,3287.0,296.0,3732.0,3436.0,296.0,3603.0,3307.0,296.0,2719.0,2450.0,269.0,1000.0,161.0,62.0,1496.0
2013,Year,County,AL,Alabama,Lauderdale County,01077,19907.0,17997.0,1910.0,15748.0,68.0,15680.0,4159.0,61.0,4098.0,8813.0,11094.0,18044.0,1646.0,36.0,74.0,*,*,58.0,801.0,3300.0,4563.0,4038.0,3033.0,2095.0,1302.0,559.0,159.0,3888.0,1532.0,2356.0,16019.0,18898.0,16988.0,1910.0,19849.0,17939.0,1910.0,18956.0,17046.0,1910.0,13491.0,11770.0,1720.0,3970.0,500.0,198.0,8822.0
